Location,Phase,Cheese,Charm,,Mouse
Claw Shot City,Crew,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,14.29%,Coal Shoveller
Claw Shot City,Crew,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,14.29%,Farrier
Claw Shot City,Crew,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,14.29%,Parlour Player
Claw Shot City,Hunting Bounty Hunter,SB+,-,15.64%,Saloon Gal
Claw Shot City,Hunting Bounty Hunter,SB+,-,15.71%,Lasso Cowgirl
Claw Shot City,Hunting Bounty Hunter,SB+,-,15.27%,Tumbleweed
Claw Shot City,Hunting Bounty Hunter,SB+,-,15.74%,Shopkeeper
Claw Shot City,Hunting Bounty Hunter,SB+,-,15.02%,Ruffian
Claw Shot City,Hunting Bounty Hunter,SB+,-,13.51%,Bounty Hunter
Claw Shot City,Hunting Bounty Hunter,SB+,-,6.09%,Prospector
Claw Shot City,Hunting Bounty Hunter,SB+,-,3.02%,Pyrite
Claw Shot City,Hunting Bounty Hunter,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,15.78%,Saloon Gal
Claw Shot City,Hunting Bounty Hunter,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,15.91%,Lasso Cowgirl
Claw Shot City,Hunting Bounty Hunter,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,16.30%,Tumbleweed
Claw Shot City,Hunting Bounty Hunter,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,15.99%,Shopkeeper
Claw Shot City,Hunting Bounty Hunter,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,16.17%,Ruffian
Claw Shot City,Hunting Bounty Hunter,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,13.05%,Bounty Hunter
Claw Shot City,Hunting Bounty Hunter,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,6.13%,Prospector
Claw Shot City,Hunting Bounty Hunter,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,0.68%,Pyrite
Claw Shot City,Ringleaders,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,16.67%,Outlaw
Claw Shot City,Ringleaders,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,16.67%,Desperado
Claw Shot City,Ringleaders,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,16.67%,Undertaker
Claw Shot City,Ringleaders,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,16.67%,Cardshark
Claw Shot City,Ringleaders,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,16.67%,Stagecoach Driver
Claw Shot City,Ringleaders,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,16.67%,Circuit Judge
Crystal Library,-,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,18.72%,Pocketwatch
Crystal Library,-,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,17.82%,Walker
Crystal Library,-,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,11.95%,Effervescent
Crystal Library,-,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,11.86%,Infiltrator
Crystal Library,-,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,9.87%,Flutterby
Crystal Library,-,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,7.90%,Steam Grip
Crystal Library,-,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,7.82%,Explorator
Crystal Library,-,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,6.96%,Scribe
Crystal Library,-,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,6.88%,Bookborn
Crystal Library,-,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,0.21%,Aether
Crystal Library,-,SB+,-,17.97%,Walker
Crystal Library,-,SB+,-,14.24%,Pocketwatch
Crystal Library,-,SB+,-,13.82%,Effervescent
Crystal Library,-,SB+,-,9.60%,Infiltrator
Crystal Library,-,SB+,-,7.94%,Steam Grip
Crystal Library,-,SB+,-,7.86%,Explorator
Crystal Library,-,SB+,-,7.74%,Tome Sprite
Crystal Library,-,SB+,-,7.05%,Scribe
Crystal Library,-,SB+,-,6.01%,Bookborn
Crystal Library,-,SB+,-,5.84%,Flutterby
Crystal Library,-,SB+,-,1.02%,Aether
Crystal Library,-,SB+,-,0.90%,Crown Collector
Crystal Library,-,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,Scholar,17.33%,Pocketwatch
Crystal Library,-,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,Scholar,17.24%,Walker
Crystal Library,-,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,Scholar,11.05%,Effervescent
Crystal Library,-,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,Scholar,10.49%,Infiltrator
Crystal Library,-,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,Scholar,9.01%,Flutterby
Crystal Library,-,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,Scholar,8.16%,Zurreal the Eternal
Crystal Library,-,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,Scholar,6.88%,Explorator
Crystal Library,-,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,Scholar,6.71%,Steam Grip
Crystal Library,-,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,Scholar,6.69%,Bookborn
Crystal Library,-,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,Scholar,6.43%,Scribe
Crystal Library,-,SB+,Scholar,16.03%,Zurreal the Eternal
Crystal Library,-,SB+,Scholar,15.31%,Walker
Crystal Library,-,SB+,Scholar,11.75%,Pocketwatch
Crystal Library,-,SB+,Scholar,11.36%,Effervescent
Crystal Library,-,SB+,Scholar,7.87%,Infiltrator
Crystal Library,-,SB+,Scholar,6.88%,Steam Grip
Crystal Library,-,SB+,Scholar,6.73%,Tome Sprite
Crystal Library,-,SB+,Scholar,6.56%,Explorator
Crystal Library,-,SB+,Scholar,5.59%,Scribe
Crystal Library,-,SB+,Scholar,5.45%,Flutterby
Crystal Library,-,SB+,Scholar,4.75%,Bookborn
Crystal Library,-,SB+,Scholar,0.87%,Aether
Crystal Library,-,SB+,Scholar,0.85%,Crown Collector
Cursed City,Curse Lifted,Graveblossom Camembert,-,19.12%,Corrupt
Cursed City,Curse Lifted,Graveblossom Camembert,-,14.60%,Cursed Enchanter
Cursed City,Curse Lifted,Graveblossom Camembert,-,14.45%,Cursed Engineer
Cursed City,Curse Lifted,Graveblossom Camembert,-,19.38%,Cursed Librarian
Cursed City,Curse Lifted,Graveblossom Camembert,-,14.40%,Cursed Thief
Cursed City,Curse Lifted,Graveblossom Camembert,-,18.05%,Essence Guardian
Cursed City,Curse Lifted,Graveblossom Camembert,Shattering,73.20%,Corrupt
Cursed City,Curse Lifted,Graveblossom Camembert,Shattering,26.80%,Dark Magi
Cursed City,Cursed,Graveblossom Camembert,-,7.44%,Corrupt
Cursed City,Cursed,Graveblossom Camembert,-,21.70%,Cursed Enchanter
Cursed City,Cursed,Graveblossom Camembert,-,21.66%,Cursed Engineer
Cursed City,Cursed,Graveblossom Camembert,-,27.56%,Cursed Librarian
Cursed City,Cursed,Graveblossom Camembert,-,21.65%,Cursed Thief
Derr Dunes,-,Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,19.52%,Sylvan
Derr Dunes,-,Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,11.40%,Spellbinder
Derr Dunes,-,Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,10.97%,Mintaka
Derr Dunes,-,Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,10.95%,Renegade
Derr Dunes,-,Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,10.95%,Seer
Derr Dunes,-,Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,10.36%,Trailblazer
Derr Dunes,-,Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,9.43%,Healer
Derr Dunes,-,Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,9.18%,Wordsmith
Derr Dunes,-,Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,7.23%,Grunt
Derr Dunes,-,Crunchy,-,57.16%,Guardian
Derr Dunes,-,Crunchy,-,28.52%,Gladiator
Derr Dunes,-,Crunchy,-,14.33%,Derr Chieftain
Derr Dunes,-,Gouda,-,15.97%,Spellbinder
Derr Dunes,-,Gouda,-,15.74%,Seer
Derr Dunes,-,Gouda,-,15.73%,Renegade
Derr Dunes,-,Gouda,-,15.73%,Mintaka
Derr Dunes,-,Gouda,-,11.77%,Grunt
Derr Dunes,-,Gouda,-,9.19%,Trailblazer
Derr Dunes,-,Gouda,-,7.93%,Healer
Derr Dunes,-,Gouda,-,7.93%,Wordsmith
Derr Dunes,-,SB+,-,17.95%,Grunt
Derr Dunes,-,SB+,-,17.19%,Renegade
Derr Dunes,-,SB+,-,17.17%,Seer
Derr Dunes,-,SB+,-,17.17%,Spellbinder
Derr Dunes,-,SB+,-,16.85%,Mintaka
Derr Dunes,-,SB+,-,4.71%,Trailblazer
Derr Dunes,-,SB+,-,4.23%,Healer
Derr Dunes,-,SB+,-,4.01%,Wordsmith
Derr Dunes,-,SB+,-,0.72%,Black Widow
Dojo,-,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,12.25%,Kung Fu
Dojo,-,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,12.24%,Samurai
Dojo,-,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,12.04%,Ninja
Dojo,-,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,10.66%,Archer
Dojo,-,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,8.95%,Gold
Dojo,-,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,8.94%,Student of the Cheese Claw
Dojo,-,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,8.74%,Student of the Cheese Fang
Dojo,-,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,8.65%,Student of the Cheese Belt
Dojo,-,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,7.60%,Monk
Dojo,-,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,6.00%,Diamond
Dojo,-,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,3.09%,Hapless
Dojo,-,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,0.84%,Assassin
Dojo,-,Maki,-,23.37%,Student of the Cheese Claw
Dojo,-,Maki,-,23.32%,Student of the Cheese Fang
Dojo,-,Maki,-,23.14%,Student of the Cheese Belt
Dojo,-,Maki,-,4.85%,Kung Fu
Dojo,-,Maki,-,4.72%,Ninja
Dojo,-,Maki,-,4.08%,Archer
Dojo,-,Maki,-,3.60%,Gold
Dojo,-,Maki,-,2.92%,Monk
Dojo,-,Maki,-,2.90%,Worker
Dojo,-,Maki,-,2.88%,Samurai
Dojo,-,Maki,-,2.43%,Diamond
Dojo,-,Maki,-,1.79%,Assassin
Dojo,-,SB+,-,13.89%,Student of the Cheese Fang
Dojo,-,SB+,-,13.63%,Student of the Cheese Claw
Dojo,-,SB+,-,13.56%,Student of the Cheese Belt
Dojo,-,SB+,-,9.72%,Ninja
Dojo,-,SB+,-,9.43%,Kung Fu
Dojo,-,SB+,-,8.80%,Archer
Dojo,-,SB+,-,7.77%,Gold
Dojo,-,SB+,-,6.03%,Samurai
Dojo,-,SB+,-,5.84%,Monk
Dojo,-,SB+,-,5.34%,Diamond
Dojo,-,SB+,-,4.28%,Worker
Dojo,-,SB+,-,1.70%,Assassin
Dracano,-,Inferno Havarti,-,38.55%,Dragon
Dracano,-,Inferno Havarti,-,32.03%,Whelpling
Dracano,-,Inferno Havarti,-,29.42%,Draconic Warden
Elub Shore,-,Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,24.03%,Pinchy
Elub Shore,-,Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,10.73%,Vanquisher
Elub Shore,-,Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,10.70%,Mystic
Elub Shore,-,Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,10.28%,Soothsayer
Elub Shore,-,Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,10.09%,Alchemist
Elub Shore,-,Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,9.77%,Alnitak
Elub Shore,-,Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,9.51%,Taleweaver
Elub Shore,-,Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,8.61%,Scout
Elub Shore,-,Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,6.30%,Pack
Elub Shore,-,Gouda,-,15.98%,Soothsayer
Elub Shore,-,Gouda,-,15.88%,Vanquisher
Elub Shore,-,Gouda,-,15.80%,Alnitak
Elub Shore,-,Gouda,-,15.79%,Mystic
Elub Shore,-,Gouda,-,11.76%,Pack
Elub Shore,-,Gouda,-,8.86%,Alchemist
Elub Shore,-,Gouda,-,8.00%,Scout
Elub Shore,-,Gouda,-,7.93%,Taleweaver
Elub Shore,-,Shell,-,57.58%,Protector
Elub Shore,-,Shell,-,28.30%,Champion
Elub Shore,-,Shell,-,14.12%,Elub Chieftain
Elub Shore,-,SB+,-,17.69%,Mystic
Elub Shore,-,SB+,-,17.64%,Vanquisher
Elub Shore,-,SB+,-,17.18%,Soothsayer
Elub Shore,-,SB+,-,16.76%,Pack
Elub Shore,-,SB+,-,16.58%,Alnitak
Elub Shore,-,SB+,-,4.56%,Scout
Elub Shore,-,SB+,-,4.37%,Taleweaver
Elub Shore,-,SB+,-,4.35%,Alchemist
Elub Shore,-,SB+,-,0.87%,Black Widow
Event Mice,-,SB+,-,11.11%,Birthday
Event Mice,-,SB+,-,11.11%,Glitchpaw
Event Mice,-,SB+,-,11.11%,High Roller
Event Mice,-,SB+,-,11.11%,Hope
Event Mice,-,SB+,-,11.11%,Leprechaun
Event Mice,-,SB+,-,11.11%,Lucky
Event Mice,-,SB+,-,11.11%,Mobster
Event Mice,-,SB+,-,11.11%,Snooty
Event Mice,-,SB+,-,11.11%,Treasurer
Fiery Warpath,Wave 1,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,26.87%,Desert Soldier
Fiery Warpath,Wave 1,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,25.66%,Desert Archer
Fiery Warpath,Wave 1,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,25.12%,Vanguard
Fiery Warpath,Wave 1,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,10.50%,Crimson Commander
Fiery Warpath,Wave 1,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,10.09%,Caravan Guard
Fiery Warpath,Wave 1,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,1.76%,Gargantuamouse
Fiery Warpath,Wave 2,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,25.75%,Sand Cavalry
Fiery Warpath,Wave 2,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,19.95%,Flame Warrior
Fiery Warpath,Wave 2,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,19.37%,Flame Archer
Fiery Warpath,Wave 2,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,18.93%,Sentinel
Fiery Warpath,Wave 2,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,11.14%,Inferno Mage
Fiery Warpath,Wave 2,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,2.29%,Caravan Guard
Fiery Warpath,Wave 2,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,2.17%,Crimson Commander
Fiery Warpath,Wave 2,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,0.40%,Gargantuamouse
Fiery Warpath,Wave 3,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,24.46%,Sandwing Cavalry
Fiery Warpath,Wave 3,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,17.36%,Crimson Titan
Fiery Warpath,Wave 3,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,16.82%,Crimson Ranger
Fiery Warpath,Wave 3,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,16.63%,Crimson Watch
Fiery Warpath,Wave 3,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,11.28%,Magmarage
Fiery Warpath,Wave 3,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,8.68%,Flame Ordnance
Fiery Warpath,Wave 3,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,2.47%,Crimson Commander
Fiery Warpath,Wave 3,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,2.10%,Caravan Guard
Fiery Warpath,Wave 3,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,0.20%,Gargantuamouse
Fiery Warpath,Wave 4,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,69.51%,Theurgy Warden
Fiery Warpath,Wave 4,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,30.49%,Warmonger
Forbidden Grove,-,Ancient,-,17.92%,Gargoyle
Forbidden Grove,-,Ancient,-,15.50%,Spider
Forbidden Grove,-,Ancient,-,12.90%,Ghost
Forbidden Grove,-,Ancient,-,10.18%,Scavenger
Forbidden Grove,-,Ancient,-,7.58%,Vampire
Forbidden Grove,-,Ancient,-,6.49%,Zombie
Forbidden Grove,-,Ancient,-,6.48%,Bat
Forbidden Grove,-,Ancient,-,5.22%,Golem
Forbidden Grove,-,Ancient,-,5.13%,Spectre
Forbidden Grove,-,Ancient,-,2.63%,Ravenous Zombie
Forbidden Grove,-,Ancient,-,2.56%,Gate Guardian
Forbidden Grove,-,Ancient,-,2.56%,Reaper
Forbidden Grove,-,Ancient,-,2.55%,Gorgon
Forbidden Grove,-,Ancient,-,1.30%,Sorcerer
Forbidden Grove,-,Ancient,-,1.00%,Realm Ripper
Forbidden Grove,-,Moon,-,46.86%,Lycan
Forbidden Grove,-,Moon,-,21.97%,Scavenger
Forbidden Grove,-,Moon,-,12.89%,Sorcerer
Forbidden Grove,-,Moon,-,11.42%,Ghost
Forbidden Grove,-,Moon,-,5.86%,Vampire
Forbidden Grove,-,Moon,-,1.00%,Realm Ripper
Forbidden Grove,-,Radioactive Blue,-,23.61%,Mutated White
Forbidden Grove,-,Radioactive Blue,-,22.89%,Mutated Grey
Forbidden Grove,-,Radioactive Blue,-,17.12%,Ghost
Forbidden Grove,-,Radioactive Blue,-,12.53%,Mutated Brown
Forbidden Grove,-,Radioactive Blue,-,9.15%,Realm Ripper
Forbidden Grove,-,Radioactive Blue,-,8.32%,Zombie
Forbidden Grove,-,Radioactive Blue,-,3.49%,Ravenous Zombie
Forbidden Grove,-,Radioactive Blue,-,1.76%,Lycan
Forbidden Grove,-,Radioactive Blue,-,0.13%,Black Widow
Forbidden Grove,-,Radioactive Blue,-,1.00%,Realm Ripper
Fungal Cavern,-,SB+,-,15.02%,Funglore
Fungal Cavern,-,SB+,-,14.03%,Lumahead
Fungal Cavern,-,SB+,-,12.14%,Floating Spore
Fungal Cavern,-,SB+,-,12.01%,Mush
Fungal Cavern,-,SB+,-,11.99%,Quillback
Fungal Cavern,-,SB+,-,8.04%,Mushroom Sprite
Fungal Cavern,-,SB+,-,7.99%,Bitter Root
Fungal Cavern,-,SB+,-,7.86%,Nightshade Masquerade
Fungal Cavern,-,SB+,-,7.17%,Spiked Burrower
Fungal Cavern,-,SB+,-,1.28%,Spore Muncher
Fungal Cavern,-,SB+,-,1.25%,Sporeticus
Fungal Cavern,-,SB+,-,1.23%,Mouldy Mole
Fungal Cavern,-,Gouda,-,15.05%,Mush
Fungal Cavern,-,Gouda,-,14.97%,Funglore
Fungal Cavern,-,Gouda,-,14.04%,Floating Spore
Fungal Cavern,-,Gouda,-,13.96%,Lumahead
Fungal Cavern,-,Gouda,-,11.99%,Quillback
Fungal Cavern,-,Gouda,-,9.73%,Mushroom Sprite
Fungal Cavern,-,Gouda,-,7.98%,Bitter Root
Fungal Cavern,-,Gouda,-,7.02%,Spiked Burrower
Fungal Cavern,-,Gouda,-,2.03%,Spore Muncher
Fungal Cavern,-,Gouda,-,2.00%,Mouldy Mole
Fungal Cavern,-,Gouda,-,1.22%,Sporeticus
Fungal Cavern,-,Brie,-,14.60%,Mush
Fungal Cavern,-,Brie,-,12.55%,Funglore
Fungal Cavern,-,Brie,-,12.49%,Floating Spore
Fungal Cavern,-,Brie,-,10.67%,Lumahead
Fungal Cavern,-,Brie,-,10.63%,Quillback
Fungal Cavern,-,Brie,-,9.21%,Mushroom Sprite
Fungal Cavern,-,Brie,-,8.05%,Bitter Root
Fungal Cavern,-,Brie,-,7.22%,Spiked Burrower
Fungal Cavern,-,Brie,-,4.90%,Spore Muncher
Fungal Cavern,-,Brie,-,4.85%,Mouldy Mole
Fungal Cavern,-,Brie,-,4.84%,Sporeticus
Fungal Cavern,-,Glowing Gruyere,-,19.99%,Crag Elder
Fungal Cavern,-,Glowing Gruyere,-,19.72%,Stone Maiden
Fungal Cavern,-,Glowing Gruyere,-,18.28%,Crystalline Slasher
Fungal Cavern,-,Glowing Gruyere,-,18.11%,Dirt Thing
Fungal Cavern,-,Glowing Gruyere,-,11.90%,Cavern Crumbler
Fungal Cavern,-,Glowing Gruyere,-,5.99%,Shattered Obsidian
Fungal Cavern,-,Glowing Gruyere,-,4.09%,Splintered Stone Sentry
Fungal Cavern,-,Glowing Gruyere,-,1.92%,Gemstone Worshipper
Fungal Cavern,-,Mineral,-,27.02%,Gemorpher
Fungal Cavern,-,Mineral,-,25.10%,Crystal Controller
Fungal Cavern,-,Mineral,-,23.83%,Crystalback
Fungal Cavern,-,Mineral,-,14.84%,Stalagmite
Fungal Cavern,-,Mineral,-,6.18%,Crystal Cave Worm
Fungal Cavern,-,Mineral,-,1.10%,Crystal Queen
Fungal Cavern,-,Mineral,-,0.96%,Crystal Observer
Fungal Cavern,-,Mineral,-,0.95%,Crystal Lurker
Fungal Cavern,-,Gemstone,-,37.10%,Crystal Queen
Fungal Cavern,-,Gemstone,-,30.30%,Crystal Lurker
Fungal Cavern,-,Gemstone,-,25.25%,Crystal Observer
Fungal Cavern,-,Gemstone,-,5.03%,Crystal Golem
Fungal Cavern,-,Gemstone,-,1.36%,Huntereater
Fungal Cavern,-,Gemstone,-,0.96%,Diamondhide
Fungal Cavern,-,Diamond,-,63.77%,Crystal Behemoth
Fungal Cavern,-,Diamond,-,26.42%,Huntereater
Fungal Cavern,-,Diamond,-,9.81%,Diamondhide
Gnawnia Rift,-,Brie String,-,16.13%,Brawny
Gnawnia Rift,-,Brie String,-,15.89%,Riftweaver
Gnawnia Rift,-,Brie String,-,15.11%,Greyrun
Gnawnia Rift,-,Brie String,-,15.02%,Agitated Gentle Giant
Gnawnia Rift,-,Brie String,-,14.97%,Supernatural
Gnawnia Rift,-,Brie String,-,14.95%,Excitable Electric
Gnawnia Rift,-,Brie String,-,1.99%,Raw Diamond
Gnawnia Rift,-,Brie String,-,1.99%,Mighty Mole
Gnawnia Rift,-,Brie String,-,1.97%,Micro
Gnawnia Rift,-,Brie String,-,1.01%,Dream Drifter
Gnawnia Rift,-,Brie String,-,0.97%,Wealth
Gnawnia Rift,-,Riftiago,-,25.09%,Spiritual Steel
Gnawnia Rift,-,Riftiago,-,24.94%,Shard Centurion
Gnawnia Rift,-,Riftiago,-,24.88%,Cyborg
Gnawnia Rift,-,Riftiago,-,15.13%,Rift Guardian
Gnawnia Rift,-,Riftiago,-,5.03%,Raw Diamond
Gnawnia Rift,-,Riftiago,-,4.93%,Wealth
Gnawnia Rift,-,Magical String,-,15.02%,Micro
Gnawnia Rift,-,Magical String,-,13.06%,Riftweaver
Gnawnia Rift,-,Magical String,-,11.89%,Greyrun
Gnawnia Rift,-,Magical String,-,11.88%,Brawny
Gnawnia Rift,-,Magical String,-,10.06%,Agitated Gentle Giant
Gnawnia Rift,-,Magical String,-,9.12%,Excitable Electric
Gnawnia Rift,-,Magical String,-,8.91%,Supernatural
Gnawnia Rift,-,Magical String,-,8.91%,Dream Drifter
Gnawnia Rift,-,Magical String,-,5.99%,Mighty Mole
Gnawnia Rift,-,Magical String,-,3.03%,Raw Diamond
Gnawnia Rift,-,Magical String,-,2.12%,Wealth
Gnawnia Rift,-,Swiss String,-,17.23%,Riftweaver
Gnawnia Rift,-,Swiss String,-,17.17%,Greyrun
Gnawnia Rift,-,Swiss String,-,16.67%,Brawny
Gnawnia Rift,-,Swiss String,-,14.21%,Supernatural
Gnawnia Rift,-,Swiss String,-,13.73%,Excitable Electric
Gnawnia Rift,-,Swiss String,-,13.12%,Agitated Gentle Giant
Gnawnia Rift,-,Swiss String,-,4.86%,Mighty Mole
Gnawnia Rift,-,Swiss String,-,1.93%,Wealth
Gnawnia Rift,-,Swiss String,-,1.07%,Raw Diamond
Gnawnia Rift,-,Marble String,-,19.13%,Riftweaver
Gnawnia Rift,-,Marble String,-,18.94%,Brawny
Gnawnia Rift,-,Marble String,-,18.48%,Greyrun
Gnawnia Rift,-,Marble String,-,14.34%,Excitable Electric
Gnawnia Rift,-,Marble String,-,14.06%,Supernatural
Gnawnia Rift,-,Marble String,-,13.06%,Agitated Gentle Giant
Gnawnia Rift,-,Marble String,-,1.99%,Mighty Mole
Gnawnia Rift,-,Resonator,-,100.00%,Goliath Field
Gnawnian Express Station,Waiting,SB+,-,11.70%,Angry Train Staff
Gnawnian Express Station,Waiting,SB+,-,11.96%,Mysterious Traveller
Gnawnian Express Station,Waiting,SB+,-,12.04%,Passenger
Gnawnian Express Station,Waiting,SB+,-,11.60%,Photographer
Gnawnian Express Station,Waiting,SB+,-,5.81%,Stowaway
Gnawnian Express Station,Waiting,SB+,-,12.44%,Train Conductor
Gnawnian Express Station,Waiting,SB+,-,12.35%,Travelling Barber
Gnawnian Express Station,Waiting,SB+,-,4.20%,Bartender
Gnawnian Express Station,Waiting,SB+,-,3.42%,Farrier
Gnawnian Express Station,Waiting,SB+,-,2.94%,Parlour Player
